Molecule ChEMBL ID,Molecule Name,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,Comment,Molecule Max Phase,Activity µM,canonical_smiles,NEW_SMILES
CHEMBL1378812,,COc1ccc2nc(N=Nc3ccc(N(C)C)cc3)sc2c1,Potency,'=',100.0,nM,Active,,0.1,COc1ccc2nc(N=Nc3ccc(N(C)C)cc3)sc2c1,COc1ccc2nc(N=Nc3ccc(N(C)C)cc3)sc2c1
CHEMBL1518905,,CCN1/C(=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21.[O-][Cl+3]([O-])([O-])[O-],Potency,'=',125.9,nM,Active,,0.13,CCN1/C(=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21.[O-][Cl+3]([O-])([O-])[O-],CCN1/C(=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21
CHEMBL1607905,,Cc1cc(-c2ccc(/N=N\c3ccc4c(S(=O)(=O)O)cc(S(=O)(=O)O)c(N)c4c3O)c(C)c2)ccc1/N=N\c1ccc2c(S(=O)(=O)O)cc(S(=O)(=O)O)c(N)c2c1O,Potency,'=',190.0,nM,Active,,0.19,Cc1cc(-c2ccc(/N=N\c3ccc4c(S(=O)(=O)O)cc(S(=O)(=O)O)c(N)c4c3O)c(C)c2)ccc1/N=N\c1ccc2c(S(=O)(=O)O)cc(S(=O)(=O)O)c(N)c2c1O,Cc1cc(-c2ccc(/N=N\c3ccc4c(S(=O)(=O)O)cc(S(=O)(=O)O)c(N)c4c3O)c(C)c2)ccc1/N=N\c1ccc2c(S(=O)(=O)O)cc(S(=O)(=O)O)c(N)c2c1O
CHEMBL1521960,,CN1/C(=C\C=C\C2=[N+](C)c3ccc4ccccc4c3C2(C)C)C(C)(C)c2ccccc21.[O-][Cl+3]([O-])([O-])[O-],Potency,'=',316.2,nM,Active,,0.32,CN1/C(=C\C=C\C2=[N+](C)c3ccc4ccccc4c3C2(C)C)C(C)(C)c2ccccc21.[O-][Cl+3]([O-])([O-])[O-],CN1/C(=C\C=C\C2=[N+](C)c3ccc4ccccc4c3C2(C)C)C(C)(C)c2ccccc21
CHEMBL1573754,,CCC(/C=C1\Sc2ccc(OC)cc2N1CCO)=C\c1sc2ccc(OC)cc2[n+]1CCO.[Cl-],Potency,'=',398.1,nM,Active,,0.4,CCC(/C=C1\Sc2ccc(OC)cc2N1CCO)=C\c1sc2ccc(OC)cc2[n+]1CCO.[Cl-],CCC(/C=C1\Sc2ccc(OC)cc2N1CCO)=C\c1sc2ccc(OC)cc2[n+]1CCO
CHEMBL3193923,,CCOC(=O)c1ccc(N/N=C/c2cc(Br)cc([N+](=O)[O-])c2O)cc1,Potency,'=',446.7,nM,Active,,0.45,CCOC(=O)c1ccc(N/N=C/c2cc(Br)cc([N+](=O)[O-])c2O)cc1,CCOC(=O)c1ccc(N/N=C/c2cc(Br)cc([N+](=O)[O-])c2O)cc1
CHEMBL466853,,CCN1/C(=C/C(C)=C/c2sc3ccccc3[n+]2CC)Sc2ccccc21.[I-],Potency,'=',446.7,nM,Active,,0.45,CCN1/C(=C/C(C)=C/c2sc3ccccc3[n+]2CC)Sc2ccccc21.[I-],CCN1/C(=C/C(C)=C/c2sc3ccccc3[n+]2CC)Sc2ccccc21
CHEMBL1242180,,CN(C)c1ccc(/C=C/c2ccc3ccccc3[n+]2C)cc1.[I-],Potency,'=',501.2,nM,Active,,0.5,CN(C)c1ccc(/C=C/c2ccc3ccccc3[n+]2C)cc1.[I-],CN(C)c1ccc(/C=C/c2ccc3ccccc3[n+]2C)cc1
CHEMBL1512440,,O=c1c(O)cc(C2Oc3cc(O)cc(O)c3CC2O)cc2c(C3Oc4cc(O)cc(O)c4CC3O)cc(O)c(O)c12,Potency,'=',501.2,nM,Active,,0.5,O=c1c(O)cc(C2Oc3cc(O)cc(O)c3CC2O)cc2c(C3Oc4cc(O)cc(O)c4CC3O)cc(O)c(O)c12,O=c1c(O)cc(C2Oc3cc(O)cc(O)c3CC2O)cc2c(C3Oc4cc(O)cc(O)c4CC3O)cc(O)c(O)c12
CHEMBL1383312,,CN(C)c1ccc(N=Nc2nc3ccccc3n2C)cc1,Potency,'=',501.2,nM,Active,,0.5,CN(C)c1ccc(N=Nc2nc3ccccc3n2C)cc1,CN(C)c1ccc(N=Nc2nc3ccccc3n2C)cc1
CHEMBL328710,,CN(C)c1ccc(/C=C2\C(=O)Nc3ccccc32)cc1,Potency,'=',501.2,nM,Active,,0.5,CN(C)c1ccc(/C=C2\C(=O)Nc3ccccc32)cc1,CN(C)c1ccc(/C=C2\C(=O)Nc3ccccc32)cc1
